Activation,Padding,DropOut,Balanceo,Optimizador,FiltroCNN,FiltrosCapa,Pooling,CapasPM,ValLoss,TrainLoss,ValAcc,TrainAcc
relu,Falso,Drop0,Falso,adam,"(2, 2)","[32, 16]","(2, 2)",2Capas,0.0441126085261506,1.0049725545724857e-05,0.985308527946472,1.0
relu,Falso,Drop0,Falso,adam,"(2, 2)","[32, 16]","(2, 2)",3Capas,0.0557838695070886,0.004525577905091852,0.9872673749923706,0.9982847571372986
relu,Falso,Drop0,Falso,adam,"(2, 2)","[32, 16]","(3, 3)",2Capas,0.33651805574933646,0.006258074284449706,0.9382957816123961,0.9987748265266417
relu,Falso,Drop0,Falso,adam,"(2, 2)","[32, 16]","(3, 3)",3Capas,0.326655228154316,0.02524100009297655,0.9363369345664978,0.9928938746452333
relu,Falso,Drop0,Falso,adam,"(2, 2)",[32],"(2, 2)",2Capas,0.07796561993643948,0.0011022997030387175,0.9794319272041322,1.0
relu,Falso,Drop0,Falso,adam,"(2, 2)",[32],"(2, 2)",3Capas,0.11822472080993345,0.0004719293455909244,0.9706170558929443,1.0
relu,Falso,Drop0,Falso,adam,"(2, 2)",[32],"(3, 3)",2Capas,0.20560101902041217,0.0013472785138808276,0.9480901360511779,1.0
relu,Falso,Drop0,Falso,adam,"(2, 2)",[32],"(3, 3)",3Capas,0.14831730406220553,0.0017752252349336668,0.9715964794158936,1.0
relu,Falso,Drop0,Falso,adam,"(3, 3)","[32, 16]","(2, 2)",2Capas,0.04571080492101573,0.0001232793992404951,0.9892262220382689,1.0
relu,Falso,Drop0,Falso,adam,"(3, 3)","[32, 16]","(2, 2)",3Capas,0.05451481399655636,0.00010475696759859112,0.9882467985153198,1.0
relu,Falso,Drop0,Falso,adam,"(3, 3)","[32, 16]","(3, 3)",2Capas,0.4881151366347664,0.014845092866409554,0.92164546251297,0.9977946877479552
relu,Falso,Drop0,Falso,adam,"(3, 3)","[32, 16]","(3, 3)",3Capas,0.5865279773540292,0.030463060226688047,0.9069539904594419,0.9941191077232362
relu,Falso,Drop0,Falso,adam,"(3, 3)",[32],"(2, 2)",2Capas,0.17888129369358474,9.553374528008676e-05,0.9578844308853148,1.0
relu,Falso,Drop0,Falso,adam,"(3, 3)",[32],"(2, 2)",3Capas,0.116303580715508,0.0045738251743898325,0.9725759029388429,0.9987748265266417
relu,Falso,Drop0,Falso,adam,"(3, 3)",[32],"(3, 3)",2Capas,0.08953167860059617,0.001379651244263012,0.9755141735076904,1.0
relu,Falso,Drop0,Falso,adam,"(3, 3)",[32],"(3, 3)",3Capas,0.05461881391295432,7.366284696159526e-05,0.985308527946472,1.0
relu,Falso,Drop0,Falso,adamax,"(2, 2)","[32, 16]","(2, 2)",2Capas,0.1635928598034627,0.00048745826743980735,0.9559255838394163,1.0
relu,Falso,Drop0,Falso,adamax,"(2, 2)","[32, 16]","(2, 2)",3Capas,0.1632372176933242,0.0005712268022229064,0.9627816081047058,1.0
relu,Falso,Drop0,Falso,adamax,"(2, 2)","[32, 16]","(3, 3)",2Capas,0.6477204995570991,0.07187139233576553,0.8854064345359801,0.9803969860076904
