Activation,Padding,DropOut,Balanceo,Optimizador,FiltroCNN,FiltrosCapa,Pooling,CapasPM,ValLoss,TrainLoss,ValAcc,TrainAcc
relu,Falso,Drop0,Falso,adam,"(2, 2)","[32, 16]","(2, 2)",2Capas,2.3053104807348808,1.7394696357203463,0.24509803950786593,0.3909313678741455
relu,Falso,Drop0,Falso,adam,"(2, 2)","[32, 16]","(2, 2)",3Capas,2.201491260061077,1.6563133071450626,0.28431373834609985,0.4289215803146362
relu,Falso,Drop0,Falso,adam,"(2, 2)","[32, 16]","(3, 3)",2Capas,2.1253897910024606,1.9217632564843867,0.2303921580314636,0.3321078419685364
relu,Falso,Drop0,Falso,adam,"(2, 2)","[32, 16]","(3, 3)",3Capas,2.10457383183872,1.615890329959346,0.28431373834609985,0.42647057771682734
relu,Falso,Drop0,Falso,adam,"(2, 2)",[32],"(2, 2)",2Capas,2.4038253017500337,2.0599166692471966,0.1617647111415863,0.25735294818878174
relu,Falso,Drop0,Falso,adam,"(2, 2)",[32],"(2, 2)",3Capas,2.331806131437713,2.28258716358858,0.15196079015731812,0.16299019753932953
relu,Falso,Drop0,Falso,adam,"(2, 2)",[32],"(3, 3)",2Capas,2.3538777945088407,2.0971734477024446,0.1617647111415863,0.23161764442920685
relu,Falso,Drop0,Falso,adam,"(2, 2)",[32],"(3, 3)",3Capas,2.3557241897957,2.213189784218283,0.1323529481887817,0.18504901230335236
relu,Falso,Drop0,Falso,adam,"(3, 3)","[32, 16]","(2, 2)",2Capas,2.09748019657883,1.509860468845741,0.3529411852359772,0.481617659330368
relu,Falso,Drop0,Falso,adam,"(3, 3)","[32, 16]","(2, 2)",3Capas,2.1767667578715906,1.4342624486661424,0.3284313678741455,0.5049019455909729
relu,Falso,Drop0,Falso,adam,"(3, 3)","[32, 16]","(3, 3)",2Capas,1.9012474709866092,1.5015222862655042,0.3480392098426819,0.4718137383460999
relu,Falso,Drop0,Falso,adam,"(3, 3)","[32, 16]","(3, 3)",3Capas,2.0594206954918657,1.5801134530235739,0.31862744688987726,0.4362744987010956
relu,Falso,Drop0,Falso,adam,"(3, 3)",[32],"(2, 2)",2Capas,2.341829412123736,2.116213373109406,0.1764705926179886,0.24509803950786593
relu,Falso,Drop0,Falso,adam,"(3, 3)",[32],"(2, 2)",3Capas,2.3668787385903154,2.2658722166921574,0.18137255311012268,0.15441176295280457
relu,Falso,Drop0,Falso,adam,"(3, 3)",[32],"(3, 3)",2Capas,2.219570431054807,1.6644717852274575,0.27941176295280457,0.4154411852359772
relu,Falso,Drop0,Falso,adam,"(3, 3)",[32],"(3, 3)",3Capas,2.1973937352498374,1.827815883299884,0.25980392098426813,0.35049018263816833
relu,Falso,Drop0,Falso,adamax,"(2, 2)","[32, 16]","(2, 2)",2Capas,2.261230431351007,1.536577493536706,0.2549019753932953,0.4914215803146362
relu,Falso,Drop0,Falso,adamax,"(2, 2)","[32, 16]","(2, 2)",3Capas,2.233570035766153,1.5145107951818728,0.27450981736183167,0.4767156839370728
relu,Falso,Drop0,Falso,adamax,"(2, 2)","[32, 16]","(3, 3)",2Capas,2.1558840087815825,1.8034646370831655,0.20588235557079315,0.3700980246067047
relu,Falso,Drop0,Falso,adamax,"(2, 2)","[32, 16]","(3, 3)",3Capas,2.1284484629537546,1.7011883422440173,0.25980392098426813,0.4178921580314636
relu,Falso,Drop0,Falso,adamax,"(2, 2)",[32],"(2, 2)",2Capas,2.387842599083396,2.1555951810350606,0.1666666716337204,0.23161764442920685
relu,Falso,Drop0,Falso,adamax,"(2, 2)",[32],"(2, 2)",3Capas,2.330519952026068,2.212452018962187,0.1862745136022568,0.1862745136022568
relu,Falso,Drop0,Falso,adamax,"(2, 2)",[32],"(3, 3)",2Capas,2.325788722318761,2.1202948327158007,0.18137255311012268,0.23651960492134091
relu,Falso,Drop0,Falso,adamax,"(2, 2)",[32],"(3, 3)",3Capas,2.2740678740482703,1.870228519626692,0.20098039507865903,0.343137264251709
relu,Falso,Drop0,Falso,adamax,"(3, 3)","[32, 16]","(2, 2)",2Capas,2.219359563846214,1.7266540784461823,0.2549019753932953,0.42769607901573187
relu,Falso,Drop0,Falso,adamax,"(3, 3)","[32, 16]","(2, 2)",3Capas,2.2602665845085594,1.8908652698292447,0.24509803950786593,0.33700981736183167
relu,Falso,Drop0,Falso,adamax,"(3, 3)","[32, 16]","(3, 3)",2Capas,1.9493199493370803,1.531220328574087,0.30392158031463623,0.4779411852359772
relu,Falso,Drop0,Falso,adamax,"(3, 3)","[32, 16]","(3, 3)",3Capas,2.125146791046741,1.7541800573760389,0.30392158031463623,0.37867647409439087
relu,Falso,Drop0,Falso,adamax,"(3, 3)",[32],"(2, 2)",2Capas,2.3476924755994006,2.083446147395115,0.1666666716337204,0.2720588147640228
relu,Falso,Drop0,Falso,adamax,"(3, 3)",[32],"(2, 2)",3Capas,2.35689705025916,2.182288627998501,0.20588235557079315,0.22426471114158633
relu,Falso,Drop0,Falso,adamax,"(3, 3)",[32],"(3, 3)",2Capas,2.269727573675268,1.7377553687376135,0.2401960790157318,0.406862735748291
relu,Falso,Drop0,Falso,adamax,"(3, 3)",[32],"(3, 3)",3Capas,2.2481034830504774,2.104599214067646,0.1862745136022568,0.25367647409439087
relu,Falso,Drop0,Falso,nadam,"(2, 2)","[32, 16]","(2, 2)",2Capas,2.21401897131228,2.081392900616515,0.2303921580314636,0.2487745136022568
relu,Falso,Drop0,Falso,nadam,"(2, 2)","[32, 16]","(2, 2)",3Capas,2.2347187995910645,2.1874528632444488,0.20588235557079315,0.1875
relu,Falso,Drop0,Falso,nadam,"(2, 2)","[32, 16]","(3, 3)",2Capas,2.138045638215308,1.734685086736492,0.25980392098426813,0.37867647409439087
relu,Falso,Drop0,Falso,nadam,"(2, 2)","[32, 16]","(3, 3)",3Capas,2.044780076718798,1.6703558949863209,0.3333333432674408,0.4215686321258545
relu,Falso,Drop0,Falso,nadam,"(2, 2)",[32],"(2, 2)",2Capas,2.3385572480220422,2.280700365702311,0.12745098769664764,0.13112744688987732
relu,Falso,Drop0,Falso,nadam,"(2, 2)",[32],"(2, 2)",3Capas,2.2774196886548808,2.248708126591701,0.19117647409439087,0.1617647111415863
relu,Falso,Drop0,Falso,nadam,"(2, 2)",[32],"(3, 3)",2Capas,2.294636427187452,2.187504450480143,0.2156862765550613,0.1875
relu,Falso,Drop0,Falso,nadam,"(2, 2)",[32],"(3, 3)",3Capas,2.283751412933948,2.217205776887781,0.2156862765550613,0.17892156541347504
relu,Falso,Drop0,Falso,nadam,"(3, 3)","[32, 16]","(2, 2)",2Capas,2.1738990334903487,2.0247312246584426,0.3088235259056092,0.2708333432674408
relu,Falso,Drop0,Falso,nadam,"(3, 3)","[32, 16]","(2, 2)",3Capas,2.0453076409358606,1.4791128401662788,0.3676470518112183,0.5061274766921997
relu,Falso,Drop0,Falso,nadam,"(3, 3)","[32, 16]","(3, 3)",2Capas,1.893037583313736,1.7155259964512843,0.3529411852359772,0.4178921580314636
relu,Falso,Drop0,Falso,nadam,"(3, 3)","[32, 16]","(3, 3)",3Capas,1.9498546474120195,1.74866265409133,0.3480392098426819,0.37132352590560913
relu,Falso,Drop0,Falso,nadam,"(3, 3)",[32],"(2, 2)",2Capas,2.3829390067680207,2.2540905989852607,0.1568627506494522,0.15808823704719543
relu,Falso,Drop0,Falso,nadam,"(3, 3)",[32],"(2, 2)",3Capas,2.242422463847141,4.67618752434161,0.20098039507865903,0.6311274766921997
relu,Falso,Drop0,Falso,nadam,"(3, 3)",[32],"(3, 3)",2Capas,2.250804167167813,2.1952074275297275,0.21078431606292725,0.1948529481887817
relu,Falso,Drop0,Falso,nadam,"(3, 3)",[32],"(3, 3)",3Capas,2.2014041227452896,1.4160418814303828,0.343137264251709,0.5061274766921997
relu,Falso,Drop0,Verdadero,adam,"(2, 2)","[32, 16]","(2, 2)",2Capas,2.3480335544137394,4.197614576302322,0.13725490868091583,0.19607843458652496
relu,Falso,Drop0,Verdadero,adam,"(2, 2)","[32, 16]","(2, 2)",3Capas,2.2772068556617286,4.088758548100789,0.14705882966518402,0.22426471114158633
relu,Falso,Drop0,Verdadero,adam,"(2, 2)","[32, 16]","(3, 3)",2Capas,2.199100274665683,3.645349053775563,0.19607843458652496,0.32598039507865906
relu,Falso,Drop0,Verdadero,adam,"(2, 2)","[32, 16]","(3, 3)",3Capas,2.2185881020976046,3.367653351204068,0.2401960790157318,0.3492647111415863
relu,Falso,Drop0,Verdadero,adam,"(2, 2)",[32],"(2, 2)",2Capas,2.4510906443876377,4.184915014341766,0.12745098769664764,0.2156862765550613
relu,Falso,Drop0,Verdadero,adam,"(2, 2)",[32],"(2, 2)",3Capas,2.335435862634696,4.199581669826133,0.12254901975393297,0.18137255311012268
relu,Falso,Drop0,Verdadero,adam,"(2, 2)",[32],"(3, 3)",2Capas,2.406095640332091,4.105416737350763,0.12745098769664764,0.1875
relu,Falso,Drop0,Verdadero,adam,"(2, 2)",[32],"(3, 3)",3Capas,2.3639977913276824,4.243982530107685,0.12254901975393297,0.18504901230335236
relu,Falso,Drop0,Verdadero,adam,"(3, 3)","[32, 16]","(2, 2)",2Capas,2.3028496083091285,3.2448282802806183,0.28431373834609985,0.4178921580314636
relu,Falso,Drop0,Verdadero,adam,"(3, 3)","[32, 16]","(2, 2)",3Capas,2.2585025651782167,3.170118453455906,0.3137255012989044,0.4178921580314636
relu,Falso,Drop0,Verdadero,adam,"(3, 3)","[32, 16]","(3, 3)",2Capas,2.1118529450659658,3.744613572662952,0.2303921580314636,0.28799018263816833
relu,Falso,Drop0,Verdadero,adam,"(3, 3)","[32, 16]","(3, 3)",3Capas,2.097666160733092,2.9711000732347075,0.30392158031463623,0.4607843160629272
relu,Falso,Drop0,Verdadero,adam,"(3, 3)",[32],"(2, 2)",2Capas,2.3591202801349116,4.135378575792499,0.14215686917304993,0.22058823704719543
relu,Falso,Drop0,Verdadero,adam,"(3, 3)",[32],"(2, 2)",3Capas,2.3723553255492567,4.4285174070620075,0.11764705926179884,0.10539215803146362
relu,Falso,Drop0,Verdadero,adam,"(3, 3)",[32],"(3, 3)",2Capas,2.292065720932156,3.156796745225495,0.2352941185235977,0.4362744987010956
relu,Falso,Drop0,Verdadero,adam,"(3, 3)",[32],"(3, 3)",3Capas,2.304412369634591,4.283580125546923,0.13725490868091583,0.18259803950786593
relu,Falso,Drop0,Verdadero,adamax,"(2, 2)","[32, 16]","(2, 2)",2Capas,2.366864667219274,4.033368905385335,0.1617647111415863,0.24387255311012268
